 45 47 45 26 45 17 45 49 45 17 45 16 45 49 45 17 45 24 45 49 45 47 45 49 45 47 45 49 45 49 45 17 45 15 45 49 45 47 45 15 45 49 45 26 45 26 45 17 45 15 45 26 45 15 45 49 45 17 45 17 45 37 45 37 45 26 45 26 45 37 45 15 45 3 45 26 45 3 45 15 45 26 45 26 45 9 45 28 45 28 45 28 45 3 45 3 45 9 45 28
 22 23 22 39 22 41 22 38 22 41 22 38 22 38 22 38 22 39 22 29 22 12 22 29 22 41 22 41 22 29 22 12 22 38 22 12 22 38 22 7 22 4 22 0 22 12 22 12 22 0 22 23 22 0 22 38 22 23 22 23 22 41 22 41 22 41 22 39 22 40 22 39 22 39 22 41 22 41 22 38 22 41 22 41 22 41 22 41 22 41 22 41 22 38 22 38 22 38 22 41
 18 12 18 36 18 36 18 36 18 13 18 34 18 7 18 39 18 7 18 7 18 4 18 0 18 13 18 12 18 12 18 12 18 7 18 38 18 32 18 12 18 32 18 4 18 36 18 4 18 12 18 25 18 5 18 36 18 12 18 32 18 12 18 12 18 13 18 4 18 5 18 12 18 5 18 12 18 5 18 12 18 5 18 0 18 12 18 12 18 13 18 12 18 4 18 41 18 19 18 19
 49 26 49 45 49 45 49 17 49 45 49 45 49 26 49 26 49 17 49 26 49 17 49 26 49 17 49 26 49 45 49 26 49 17 49 17 49 17 49 17 49 16 49 45 49 17 49 17 49 16 49 17 49 45 49 16 49 16 49 16 49 16 49 17 49 17 49 21 49 21 49 33 49 17 49 21 49 16 49 33 49 17 49 17 49 33 49 29 49 17 49 17 49 17 49 17 49 17 49 34
 10 21 10 24 10 16 10 21 10 8 10 11 10 24 10 11 10 11 10 33 10 21 10 43 10 8 10 33 10 43 10 43 10 43 10 11 10 33 10 11 10 11 10 43 10 43 10 11 10 47 10 11 10 16 10 47 10 11 10 11 10 47 10 11 10 47 10 43 10 47 10 43 10 47 10 11 10 47 10 11 10 47 10 47 10 11 10 47 10 47 10 47 10 43 10 47 10 47 10 43
 36 18 36 13 36 13 36 18 36 4 36 13 36 13 36 35 36 13 36 13 36 4 36 25 36 25 36 25 36 25 36 25 36 5 36 25 36 18 36 18 36 28 36 18 36 13 36 32 36 12 36 4 36 25 36 13 36 5 36 5 36 12 36 13 36 28 36 5 36 25 36 12 36 13 36 18 36 38 36 32 36 4 36 38 36 25 36 4 36 32 36 4 36 4 36 32 36 38 36 32
 4 32 4 13 4 2 4 13 4 32 4 32 4 32 4 32 4 32 4 12 4 32 4 36 4 38 4 38 4 38 4 2 4 38 4 0 4 38 4 38 4 0 4 32 4 18 4 12 4 18 4 22 4 12 4 32 4 38 4 13 4 18 4 36 4 13 4 18 4 41 4 41 4 32 4 36 4 36 4 32 4 32 4 18 4 36 4 18 4 32 4 36 4 18 4 36 4 13 4 12
 11 48 11 21 11 43 11 21 11 21 11 43 11 16 11 10 11 40 11 33 11 10 11 16 11 10 11 33 11 43 11 21 11 21 11 21 11 10 11 33 11 10 11 43 11 10 11 10 11 43 11 10 11 43 11 10 11 10 11 10 11 10 11 47 11 10 11 24 11 24 11 47 11 43 11 43 11 43 11 10 11 47 11 10 11 10 11 43 11 47 11 47 11 43 11 42 11 47 11 47
 16 10 16 21 16 10 16 49 16 21 16 11 16 17 16 11 16 11 16 17 16 11 16 21 16 11 16 11 16 43 16 11 16 33 16 21 16 49 16 49 16 17 16 17 16 10 16 49 16 49 16 33 16 10 16 33 16 49 16 43 16 33 16 47 16 33 16 33 16 33 16 35 16 17 16 17 16 49 16 35 16 35 16 35 16 17 16 35 16 35 16 33 16 35 16 24 16 35 16 35
 15 9 15 2 15 2 15 2 15 9 15 2 15 2 15 26 15 26 15 49 15 26 15 26 15 26 15 26 15 26 15 30 15 45 15 45 15 37 15 37 15 45 15 45 15 26 15 26 15 3 15 26 15 3 15 45 15 26 15 3 15 26 15 35 15 26 15 45 15 45 15 3 15 45 15 45 15 45 15 26 15 16 15 37 15 45 15 26 15 37 15 23 15 37 15 37
 7 41 7 39 7 41 7 39 7 0 7 12 7 34 7 34 7 39 7 39 7 38 7 34 7 19 7 19 7 22 7 0 7 22 7 12 7 12 7 41 7 19 7 18 7 19 7 34 7 34 7 13 7 0 7 34 7 0 7 0 7 12 7 42 7 42 7 0 7 0 7 0 7 19 7 4 7 0 7 0 7 0 7 0 7 0 7 1 7 19 7 19 7 41 7 41 7 41 7 41
 0 39 0 38 0 39 0 41 0 7 0 38 0 38 0 41 0 38 0 38 0 7 0 18 0 18 0 12 0 41 0 22 0 12 0 12 0 23 0 12 0 22 0 41 0 22 0 41 0 38 0 12 0 41 0 4 0 7 0 7 0 34 0 7 0 7 0 13 0 19 0 19 0 19 0 7 0 19 0 7 0 5 0 19 0 5 0 19 0 19 0 19 0 5 0 12 0 5 0 18
 3 34 3 30 3 48 3 8 3 40 3 37 3 37 3 8 3 37 3 37 3 37 3 37 3 37 3 8 3 30 3 37 3 40 3 40 3 8 3 30 3 15 3 15 3 30 3 30 3 37 3 37 3 30 3 15 3 15 3 28 3 45 3 28 3 30 3 45 3 28 3 9 3 45 3 28 3 28 3 45 3 37 3 15 3 23 3 45 3 37
 23 37 23 48 23 37 23 22 23 9 23 2 23 37 23 9 23 2 23 2 23 37 23 9 23 41 23 2 23 41 23 2 23 38 23 32 23 22 23 22 23 38 23 9 23 22 23 2 23 38 23 9 23 38 23 38 23 22 23 38 23 41 23 32 23 32 23 38 23 40 23 40 23 38 23 38 23 22 23 38 23 40 23 40 23 40 23 40 23 40 23 40 23 37 23 45 23 37 23 15
 39 31 39 41 39 0 39 7 39 12 39 0 39 12 39 38 39 12 39 38 39 41 39 34 39 41 39 22 39 41 39 29 39 41 39 29 39 22 39 48 39 2 39 29 39 2 39 2 39 2 39 41 39 48 39 48 39 2 39 2 39 40 39 40 39 2 39 48 39 48 39 22 39 48 39 2 39 2 39 2 39 2 39 48 39 21 39 48 39 2 39 21 39 21 39 2 39 2 39 21
